timestamp_s,node_state,sampling_interval_s,transmission_interval_s,current_load_A,voltage_bus_V,power_load_W
183.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
184.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
185.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
186.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
187.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
188.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
189.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
190.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
191.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
192.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
193.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
194.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
195.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
196.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
197.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
198.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
199.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
200.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
201.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
202.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
203.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
204.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
205.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
206.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
207.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
208.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
209.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
210.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
211.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
212.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
213.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
214.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
215.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
216.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
217.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
218.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
219.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
220.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
221.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
222.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
