timestamp_s,node_state,sampling_interval_s,transmission_interval_s,current_load_A,voltage_bus_V,power_load_W,battery_soc,battery_ocv_V,battery_terminal_voltage_V,battery_current_A,battery_power_W,energy_used_Wh,energy_remaining_Wh,cutoff_reached
242.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495312500111,4.1997981250000445,4.199797855000044,1.5e-05,6.299696782500066e-05,0.00042377621506776937,7.212835945586807,False
243.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495291666778,4.199798116666711,4.199797846666711,1.5e-05,6.299696770000068e-05,0.0004237937142254638,7.212835930559308,False
244.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495270833445,4.199798108333378,4.199797838333378,1.5e-05,6.299696757500068e-05,0.0004238112133831235,7.212835915531809,False
245.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495250000112,4.199798100000045,4.199797830000045,1.5e-05,6.299696745000068e-05,0.0004238287125407485,7.212835900504309,False
246.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495229166779,4.199798091666712,4.199797821666712,1.5e-05,6.299696732500068e-05,0.0004238462116983388,7.212835885476809,False
247.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495208333447,4.199798083333379,4.199797813333379,1.5e-05,6.299696720000068e-05,0.00042386371085589435,7.212835870449309,False
248.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495187500114,4.199798075000046,4.1997978050000455,1.5e-05,6.299696707500068e-05,0.00042388121001341516,7.21283585542181,False
249.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495166666781,4.1997980666667125,4.199797796666712,1.5e-05,6.299696695000069e-05,0.0004238987091709013,7.21283584039431,False
250.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495145833448,4.199798058333379,4.199797788333379,1.5e-05,6.299696682500069e-05,0.00042391620832835265,7.212835825366811,False
251.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495125000115,4.199798050000046,4.199797780000046,1.5e-05,6.299696670000069e-05,0.00042393370748576933,7.212835810339311,False
252.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495104166782,4.199798041666713,4.199797771666713,1.5e-05,6.29969665750007e-05,0.00042395120664315126,7.212835795311811,False
253.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999949508333345,4.19979803333338,4.19979776333338,1.5e-05,6.29969664500007e-05,0.0004239687058004985,7.212835780284312,False
254.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495062500117,4.199798025000047,4.199797755000047,1.5e-05,6.299696632500071e-05,0.000423986204957811,7.212835765256812,False
255.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495041666784,4.199798016666714,4.199797746666714,1.5e-05,6.299696620000071e-05,0.00042400370411508877,7.212835750229313,False
256.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495020833451,4.199798008333381,4.19979773833338,1.5e-05,6.299696607500071e-05,0.0004240212032723318,7.212835735201813,False
257.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999495000000118,4.199798000000047,4.199797730000047,1.5e-05,6.299696595000071e-05,0.00042403870242954016,7.212835720174313,False
258.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494979166785,4.199797991666714,4.199797721666714,1.5e-05,6.299696582500071e-05,0.00042405620158671376,7.212835705146814,False
259.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494958333452,4.199797983333381,4.199797713333381,1.5e-05,6.299696570000071e-05,0.00042407370074385266,7.212835690119314,False
260.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999949493750012,4.199797975000048,4.199797705000048,1.5e-05,6.299696557500072e-05,0.0004240911999009568,7.212835675091815,False
261.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494916666787,4.199797966666715,4.199797696666715,1.5e-05,6.299696545000072e-05,0.0004241086990580263,7.212835660064314,False
262.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494895833454,4.199797958333382,4.199797688333382,1.5e-05,6.299696532500073e-05,0.000424126198215061,7.212835645036815,False
263.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494875000121,4.199797950000049,4.1997976800000485,1.5e-05,6.299696520000073e-05,0.000424143697372061,7.212835630009316,False
264.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494854166788,4.1997979416667155,4.199797671666715,1.5e-05,6.299696507500073e-05,0.0004241611965290263,7.212835614981816,False
265.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494833333455,4.199797933333382,4.199797663333382,1.5e-05,6.299696495000074e-05,0.00042417869568595686,7.212835599954317,False
266.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494812500123,4.199797925000049,4.199797655000049,1.5e-05,6.299696482500074e-05,0.0004241961948428527,7.212835584926816,False
267.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999949479166679,4.199797916666716,4.199797646666716,1.5e-05,6.299696470000074e-05,0.0004242136939997138,7.212835569899317,False
268.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494770833457,4.199797908333383,4.199797638333383,1.5e-05,6.299696457500074e-05,0.0004242311931565402,7.212835554871818,False
269.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999494750000124,4.19979790000005,4.19979763000005,1.5e-05,6.299696445000074e-05,0.0004242486923133319,7.212835539844318,False
270.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003,0.9999483638889013,4.199793455555605,4.199649455555606,0.008,0.03359719564444485,0.00043358124665901103,7.212827525177666,False
271.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003,0.9999472527777902,4.199789011111161,4.199645011111161,0.008,0.03359716008888929,0.00044291379112814695,7.2128195105110136,False
272.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472506944569,4.199789002777828,4.199788732777828,1.5e-05,6.299683099166741e-05,0.00044293129024786684,7.212819495483514,False
273.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472486111236,4.199788994444495,4.1997887244444945,1.5e-05,6.299683086666742e-05,0.00044294878936755204,7.212819480456015,False
274.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472465277903,4.1997889861111615,4.199788716111161,1.5e-05,6.299683074166742e-05,0.0004429662884872025,7.212819465428515,False
275.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999947244444457,4.199788977777828,4.199788707777828,1.5e-05,6.299683061666742e-05,0.00044298378760681824,7.212819450401016,False
276.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472423611238,4.199788969444495,4.199788699444495,1.5e-05,6.299683049166742e-05,0.00044300128672639924,7.2128194353735156,False
277.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472402777905,4.199788961111162,4.199788691111162,1.5e-05,6.299683036666743e-05,0.00044301878584594555,7.212819420346016,False
278.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472381944572,4.199788952777829,4.199788682777829,1.5e-05,6.299683024166744e-05,0.0004430362849654571,7.212819405318516,False
279.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472361111239,4.199788944444496,4.199788674444496,1.5e-05,6.299683011666744e-05,0.00044305378408493397,7.212819390291017,False
280.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472340277906,4.199788936111163,4.1997886661111625,1.5e-05,6.299682999166744e-05,0.0004430712832043761,7.212819375263518,False
281.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472319444573,4.1997889277778295,4.199788657777829,1.5e-05,6.299682986666744e-05,0.0004430887823237835,7.2128193602360176,False
282.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999947229861124,4.199788919444496,4.199788649444496,1.5e-05,6.299682974166744e-05,0.0004431062814431562,7.212819345208518,False
283.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472277777908,4.199788911111163,4.199788641111163,1.5e-05,6.299682961666744e-05,0.00044312378056249416,7.212819330181018,False
284.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472256944575,4.19978890277783,4.19978863277783,1.5e-05,6.299682949166746e-05,0.0004431412796817974,7.212819315153519,False
285.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472236111242,4.199788894444497,4.199788624444497,1.5e-05,6.299682936666746e-05,0.00044315877880106593,7.21281930012602,False
286.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472215277909,4.199788886111164,4.199788616111164,1.5e-05,6.299682924166746e-05,0.0004431762779202997,7.2128192850985196,False
287.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472194444576,4.199788877777831,4.199788607777831,1.5e-05,6.299682911666746e-05,0.0004431937770394988,7.21281927007102,False
288.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472173611244,4.199788869444498,4.1997885994444975,1.5e-05,6.299682899166746e-05,0.00044321127615866315,7.21281925504352,False
289.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472152777911,4.1997888611111645,4.199788591111164,1.5e-05,6.299682886666747e-05,0.0004432287752777928,7.212819240016021,False
290.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472131944578,4.199788852777831,4.199788582777831,1.5e-05,6.299682874166747e-05,0.0004432462743968877,7.212819224988521,False
291.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472111111245,4.199788844444498,4.199788574444498,1.5e-05,6.299682861666747e-05,0.0004432637735159479,7.2128192099610215,False
292.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999472090277912,4.199788836111165,4.199788566111165,1.5e-05,6.299682849166747e-05,0.00044328127263497337,7.212819194933522,False
